ELO Rankings (seasidereturn - seasideparty2)
Tendrii,1158
Sakura,1130
Prominence,1097
DaveTM,1042
Silver,1016
Hoshikage,1015
Sunset,1003
[REDACTED],996
KnuX,993
Hyperspeed,980
The Crimson,980
9by,964
Regaltoad,960
oilysines,929
mike$$,927
Staci,925
Perci,884
